DAY,9:00 - 9:55,9:55 - 10:50,10:50 - 11:10,11:10 - 12:05,12:05 - 1:00,01:00 - 01:20,1:20 - 2:15,2:15 - 3:10,03:10 - 03:30,3:30 - 4:25
Monday,"TCS-531 (AB01, R4)","SCS-501 (AP24, R4)",BREAK,"TCS-502 (SS03, R4)","XCS-501 (DT20, R4)",LUNCH,,,BREAK,
Tuesday,"Placement_Class (AK26, R4)","Placement_Class (AK26, R4)",BREAK,"TCS-509 (SJ16, R4)","CSP-501 (AK23, R4)",LUNCH,,,BREAK,
Wednesday,"PCS-503 (RS11, L2)","PCS-503 (RS11, L2)",BREAK,"TCS-509 (SJ16, R4)","TCS-502 (AA04, R4)",LUNCH,,,BREAK,
Thursday,"PMA-502 (PM14, L2)","PMA-502 (PM14, L2)",BREAK,"TCS-502 (AA04, R4)","XCS-501 (DT20, R4)",LUNCH,,,BREAK,
Friday,"TCS-509 (SJ16, R4)","TCS-503 (AC05, R4)",BREAK,"TMA-502 (RS11, R4)","TCS-531 (AB01, R4)",LUNCH,"PCS-506 (AD08, L2)","PCS-506 (AD08, L2)",BREAK,"Library (None, R4)"
Saturday,"Library (None, R4)","Library (None, R4)",BREAK,"Library (None, R4)","Library (None, R4)",LUNCH,"Library (None, R4)","Library (None, R4)",BREAK,"Library (None, R4)"
