DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00
Monday,"TCS-503 (A, SP06)","TCS-509 (A, SJ16)","SCS-501 (A, AP24)","CSP-501 (A, AK23)"
Tuesday,,,,
Wednesday,"TMA-502 (A, BJ10)","XCS-501 (A, DT20)","TCS-503 (A, SP06)","TCS-509 (A, SJ16)"
Thursday,"TCS-509 (A, SJ16)","TMA-502 (A, BJ10)","TMA-502 (A, BJ10)","TCS-509 (A, SJ16)"
Friday,"TCS-502 (A, SS03)","TCS-509 (A, SJ16)","TMA-502 (A, BJ10)","TCS-531 (A, AB01)"
Saturday,"Library (A, None)","Library (A, None)","Library (A, None)","Library (A, None)"
