DAY,08:00 - 09:00,09:00 - 10:00,13:50 - 14:50,14:50 - 15:50
Monday,"PCS-503 (A, RS11)","PCS-503 (A, RS11)","PMA-502 (F, PM14)","PMA-502 (F, PM14)"
Tuesday,"PCS-506 (A, AD08)","PCS-506 (A, AD08)","PCS-506 (F, RD09)","PCS-506 (F, RD09)"
Wednesday,"PMA-502 (E, AD08)","PMA-502 (E, AD08)","PCS-503 (E, VD25)","PCS-503 (E, VD25)"
Thursday,"PMA-502 (B, PM14)","PMA-502 (B, PM14)","PCS-506 (E, AD08)","PCS-506 (E, AD08)"
Friday,"PCS-506 (D, AD08)","PCS-506 (D, AD08)",,
Saturday,,,,
