DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00
Monday,"TCS-531 (B, AB01)","SCS-501 (B, AP24)","CSP-501 (B, AK23)","TMA-502 (B, BJ10)"
Tuesday,"TCS-531 (B, AB01)","XCS-501 (B, DT20)","TCS-503 (B, SP06)","TCS-502 (B, SS03)"
Wednesday,"TCS-503 (B, SP06)","TCS-531 (B, AB01)","TCS-502 (B, SS03)","TCS-509 (B, SJ16)"
Thursday,"TMA-502 (B, RS11)","TCS-509 (B, AB17)","TCS-503 (B, SP06)","TCS-531 (B, AB01)"
Friday,"XCS-501 (B, DT20)","TCS-503 (B, SP06)","TMA-502 (B, RS11)","TCS-502 (B, AA04)"
Saturday,"Library (B, None)","Library (B, None)","Library (B, None)","Library (B, None)"
