DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00,16:50 - 17:50,14:50 - 15:50,13:50 - 14:50
Monday,"XCS-501 (E, DT20)","TCS-503 (E, SP06)","SCS-501 (E, AP24)","TMA-502 (E, JM12)","TCS-509 (E, HP18)","Placement_Class (E, AK26)","Placement_Class (E, AK26)"
Tuesday,"CSP-501 (E, AK23)","TCS-503 (E, SP06)","TCS-502 (E, SS03)","XCS-501 (E, NB22)","TCS-531 (E, AB01)",,
Wednesday,"TMA-502 (E, RS11)","TCS-531 (E, AB01)",,,"TCS-502 (E, AA04)","TCS-503 (E, SP06)","TCS-509 (E, SG19)"
Thursday,"TCS-531 (E, AB01)","TCS-502 (E, AC05)","TCS-509 (E, HP18)","TMA-502 (E, NJ13)","Library (E, None)",,
Friday,"TCS-531 (E, PK02)","TMA-502 (E, JM12)","Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)"
Saturday,"Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)","Library (E, None)"
