DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00,16:50 - 17:50,14:50 - 15:50,13:50 - 14:50
Monday,"SCS-501 (F, AP24)","TCS-503 (F, DP07)","SCS-501 (F, AP24)","XCS-501 (F, PA21)","XCS-501 (F, PA21)",,
Tuesday,"XCS-501 (F, DT20)","TCS-503 (F, DP07)","TMA-502 (F, JM12)","CSP-501 (F, AK23)","TCS-502 (F, AA04)",,
Wednesday,"TCS-503 (F, DP07)","TCS-502 (F, SS03)","TCS-509 (F, SJ16)","TCS-531 (F, PK02)","TMA-502 (F, NJ13)","TCS-509 (F, SJ16)","TCS-531 (F, PK02)"
Thursday,"TCS-531 (F, PK02)","TMA-502 (F, BJ10)","TCS-502 (F, SS03)","TCS-509 (F, SG19)","Library (F, None)","Placement_Class (F, AK26)","Placement_Class (F, AK26)"
Friday,"TCS-531 (F, AB01)","TCS-509 (F, AB17)","Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)"
Saturday,"Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)","Library (F, None)"
