DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00,16:50 - 17:50,14:50 - 15:50,13:50 - 14:50
Monday,"SCS-501 (D, AP24)","TMA-502 (D, RS11)","TCS-509 (D, AB17)","CSP-501 (D, AK23)","TCS-502 (D, SS03)","TCS-503 (D, AC05)","TCS-531 (D, PK02)"
Tuesday,"XCS-501 (D, PA21)","TCS-531 (D, PK02)","TMA-502 (D, RS11)","TCS-509 (D, AB17)","Library (D, None)","TCS-503 (D, DP07)","TCS-502 (D, AC05)"
Wednesday,"TCS-531 (D, AB01)","XCS-501 (D, PA21)","TCS-509 (D, HP18)","TMA-502 (D, JM12)","TCS-503 (D, AC05)",,
Thursday,"TCS-502 (D, SS03)","TCS-531 (D, PK02)",,,"TCS-502 (D, AA04)","Placement_Class (D, AK26)","Placement_Class (D, AK26)"
Friday,"TCS-502 (D, SS03)","TCS-531 (D, AB01)","TMA-502 (D, JM12)","Library (D, None)","Library (D, None)","Library (D, None)","Library (D, None)"
Saturday,"Library (D, None)","Library (D, None)","Library (D, None)","Library (D, None)","Library (D, None)","Library (D, None)","Library (D, None)"
