DAY,08:00 - 09:00,09:00 - 10:00,11:00 - 12:00,12:00 - 13:00
Monday,"CSP-501 (F, R6)","CSP-501 (C, R3)","CSP-501 (B, R2)","CSP-501 (A, R1)"
Tuesday,"CSP-501 (E, R5)",,,"CSP-501 (F, R6)"
Wednesday,"CSP-501 (B, R2)",,,
Thursday,,,,
Friday,,,,"CSP-501 (A, R1)"
Saturday,,,,
