DAY,13:50 - 14:50,14:50 - 15:50
Monday,"Placement_Class (E, R5)","Placement_Class (E, R5)"
Tuesday,,
Wednesday,,
Thursday,"Placement_Class (F, R6)","Placement_Class (F, R6)"
Friday,"Placement_Class (F, R6)","Placement_Class (F, R6)"
Saturday,,
